,S,E,I,R,country,date,CountryCode,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,Unnamed: 34
5268,43849260,1.0,2.0,1.0,sudan,2020-03-28,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,	
5269,43849260,2.0,4.0,1.0,sudan,2020-03-29,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,	
5270,43849260,2.0,5.0,1.0,sudan,2020-03-30,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,	
5271,43849260,2.0,4.0,2.0,sudan,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5272,43849260,2.0,4.0,3.0,sudan,2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5273,43849260,4.0,3.0,4.0,sudan,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5274,43849260,5.0,4.0,4.0,sudan,2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5275,43849260,4.0,6.0,4.0,sudan,2020-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5276,43849260,4.0,6.0,4.0,sudan,2020-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5277,43849260,3.0,8.0,4.0,sudan,2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5278,43849260,4.0,8.0,4.0,sudan,2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5279,43849260,6.0,10.0,4.0,sudan,2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5280,43849260,6.0,10.0,4.0,sudan,2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5281,3473730,0.0,4.0,0.0,uruguay,2020-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5282,3473730,0.0,6.0,0.0,uruguay,2020-03-15,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,	
5283,3473730,0.0,29.0,0.0,uruguay,2020-03-16,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,	
5284,3473730,0.0,29.0,0.0,uruguay,2020-03-17,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0.0,,	
5285,3473730,4.0,50.0,0.0,uruguay,2020-03-18,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.0,,	
5286,3473730,6.0,79.0,0.0,uruguay,2020-03-19,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,0.0,,	
5287,3473730,29.0,79.0,0.0,uruguay,2020-03-20,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,0.0,,	
5288,3473730,29.0,110.0,0.0,uruguay,2020-03-21,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,0.0,,	
5289,3473730,50.0,110.0,0.0,uruguay,2020-03-22,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,0.0,,	
5290,3473730,79.0,158.0,0.0,uruguay,2020-03-23,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,0.0,,	
5291,3473730,79.0,162.0,0.0,uruguay,2020-03-24,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,0.0,,	
5292,3473730,110.0,189.0,0.0,uruguay,2020-03-25,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,0.0,,	
5293,3473730,110.0,217.0,0.0,uruguay,2020-03-26,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,0.0,,	
5294,3473730,158.0,238.0,0.0,uruguay,2020-03-27,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0,0.0,,	
5295,3473730,162.0,238.0,0.0,uruguay,2020-03-28,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0,0.0,,	
5296,3473730,189.0,303.0,1.0,uruguay,2020-03-29,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,0.0,,	
5297,3473730,217.0,303.0,1.0,uruguay,2020-03-30,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0,1.0,,	
5298,3473730,238.0,294.0,26.0,uruguay,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5299,3473730,238.0,296.0,42.0,uruguay,2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5300,3473730,303.0,286.0,64.0,uruguay,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5301,3473730,303.0,284.0,66.0,uruguay,2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5302,3473730,294.0,296.0,90.0,uruguay,2020-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5303,3473730,296.0,302.0,98.0,uruguay,2020-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5304,3473730,286.0,296.0,110.0,uruguay,2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,3473730,284.0,286.0,129.0,uruguay,2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
