,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase,ref,date
170,Zimbabwe,5,+2,1.0,,,4,,0.3,0.07,Mar 19,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
171,Fiji,5,,,,,5,,6.0,,Mar 18,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
172,Montserrat,5,,,,,5,,1002.0,,Mar 17,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
173,St. Barth,5,+2,,,,5,,506.0,,Feb 29,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
174,Syria,5,,,,,5,,0.3,,Mar 21,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
175,Nicaragua,4,+2,1.0,+1,,3,,0.6,0.2,Mar 18,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
176,Nepal,4,+1,,,1.0,3,,0.1,,Jan 23,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
177,Angola,4,,,,,4,,0.1,,Mar 19,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
178,Congo,4,,,,,4,,0.7,,Mar 14,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
179,Vatican City,4,,,,,4,,4994.0,,Mar 05,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
180,Gambia,3,,1.0,,,2,,1.0,0.4,Mar 16,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
181,Sudan,3,,1.0,,,2,,0.07,0.02,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
182,Bhutan,3,+1,,,,3,,4.0,,Mar 05,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
183,CAR,3,,,,,3,,0.6,,Mar 14,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
184,Chad,3,,,,,3,,0.2,,Mar 18,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
185,Liberia,3,,,,,3,,0.6,,Mar 15,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
186,Mauritania,3,,,,,3,,0.6,,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
187,Saint Lucia,3,,,,1.0,2,,16.0,,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
188,Sint Maarten,3,,,,,3,,70.0,,Mar 17,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
189,Somalia,3,+1,,,,3,,0.2,,Mar 15,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
190,MS Zaandam,2,+2,,,,2,,,,Mar 26,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
191,Anguilla,2,,,,,2,,133.0,,Mar 25,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
192,Belize,2,,,,,2,,5.0,,Mar 22,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
193,British Virgin Islands,2,,,,,2,,66.0,,Mar 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
194,Guinea-Bissau,2,,,,,2,,1.0,,Mar 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
195,Saint Kitts and Nevis,2,,,,,2,,38.0,,Mar 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
196,Turks and Caicos,2,,,,,2,,52.0,,Mar 22,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
197,Libya,1,,,,,1,,0.1,,Mar 23,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
198,Papua New Guinea,1,,,,,1,,0.1,,Mar 19,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
199,St. Vincent Grenadines,1,,,,,1,,9.0,,Mar 10,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
200,Timor-Leste,1,,,,,1,,0.8,,Mar 20,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
201,Total:,596312,"+64,502",27342.0,"+3,274",132676.0,436294,23670.0,76.5,3.5,,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
